azimuth_deg,horizon_elev_deg
100.10,7.3361
100.20,7.3273
100.30,7.3273
100.40,7.3497
100.50,7.3655
100.60,7.3655
100.70,7.4128
100.80,7.4128
100.90,7.4328
101.00,7.4328
101.10,7.4328
101.20,7.4427
101.30,7.4427
101.40,7.4427
101.50,7.4168
101.60,7.4168
101.70,7.3579
101.80,7.3378
101.90,7.3189
102.00,7.2041
102.10,7.2041
102.20,7.1811
102.30,7.1722
102.40,7.1034
102.50,7.0861
102.60,6.9878
102.70,6.9130
102.80,6.9130
102.90,6.7825
103.00,6.7129
103.10,6.6429
103.20,6.5357
103.30,6.5357
103.40,6.5008
103.50,6.3977
103.60,6.3977
103.70,6.3198
103.80,6.2834
103.90,6.2411
104.00,6.1681
104.10,6.1378
104.20,6.0810
104.30,6.0810
104.40,5.9963
104.50,5.9746
104.60,5.8613
104.70,5.8613
104.80,5.7767
104.90,5.7267
105.00,5.6439
105.10,5.6210
105.20,5.6210
105.30,5.5166
105.40,5.4986
105.50,5.4166
105.60,5.4166
105.70,5.4166
105.80,5.3259
105.90,5.2855
106.00,5.2434
106.10,5.1752
106.20,5.1055
106.30,5.0332
106.40,4.9616
106.50,4.9616
106.60,4.9820
106.70,5.0135
106.80,5.0359
106.90,5.0646
107.00,5.0978
107.10,5.1286
107.20,5.1751
107.30,5.1998
107.40,5.2016
107.50,5.1562
107.60,5.1688
107.70,5.1367
107.80,5.0945
107.90,5.0369
108.00,5.0199
108.10,4.9742
108.20,4.9388
108.30,4.9637
108.40,4.9558
108.50,4.9493
108.60,4.9429
108.70,4.9393
108.80,4.9012
108.90,4.8741
109.00,4.8652
109.10,4.8331
109.20,4.7967
109.30,4.7458
109.40,4.7040
109.50,4.6115
109.60,4.5362
109.70,4.4636
109.80,4.4305
109.90,4.3995
110.00,4.3581
110.10,4.3509
110.20,4.3255
110.30,4.3242
110.40,4.2939
110.50,4.2901
110.60,4.2601
110.70,4.2311
110.80,4.1858
110.90,4.1307
111.00,4.0622
111.10,4.0240
111.20,4.0181
111.30,4.0104
111.40,4.0215
111.50,4.0433
111.60,4.0445
111.70,4.0355
111.80,4.0159
111.90,3.9919
112.00,3.9318
112.10,3.8593
112.20,3.7891
112.30,3.7815
112.40,3.6881
112.50,3.6652
112.60,3.6667
112.70,3.6337
112.80,3.6044
112.90,3.5541
113.00,3.5210
113.10,3.4780
113.20,3.4782
113.30,3.4331
113.40,3.3987
113.50,3.3776
113.60,3.3500
113.70,3.2919
113.80,3.2835
113.90,3.3091
114.00,3.3455
114.10,3.3550
114.20,3.3521
114.30,3.3314
114.40,3.3288
114.50,3.3049
114.60,3.2864
114.70,3.2878
114.80,3.2979
114.90,3.2849
115.00,3.2537
115.10,3.2548
115.20,3.2321
115.30,3.2017
115.40,3.1689
115.50,3.1386
115.60,3.1066
115.70,3.0910
115.80,3.0790
115.90,3.0681
116.00,3.0511
116.10,3.0507
116.20,3.0318
116.30,3.0321
116.40,3.0398
116.50,3.0398
116.60,3.0466
116.70,3.0374
116.80,2.9979
116.90,2.9756
117.00,2.9786
117.10,2.9739
117.20,2.9611
117.30,2.9366
117.40,2.9362
117.50,2.9062
117.60,2.8824
117.70,2.8482
117.80,2.8108
117.90,2.7886
118.00,2.7676
118.10,2.7110
118.20,2.6597
118.30,2.6244
118.40,2.6397
118.50,2.6521
118.60,2.6943
118.70,2.7108
118.80,2.7742
118.90,2.8373
119.00,2.8680
119.10,2.9016
119.20,2.9136
119.30,2.8942
119.40,2.8841
119.50,2.8377
119.60,2.7988
119.70,2.7562
119.80,2.7311
119.90,2.6810
120.00,2.6708
120.10,2.6511
120.20,2.6495
120.30,2.6576
120.40,2.6444
120.50,2.6476
120.60,2.6487
120.70,2.6902
120.80,2.7066
120.90,2.6924
121.00,2.6607
121.10,2.6443
121.20,2.6137
121.30,2.5869
121.40,2.5530
121.50,2.5540
121.60,2.5650
121.70,2.5280
121.80,2.4631
121.90,2.4052
122.00,2.3622
